
1-央视,#genre#
CCTV-12,http://120.7.86.46:808/hls/12/index.m3u8
CCTV-12,http://60.27.20.217:4022/rtp/225.1.1.142:5002
CCTV-12,http://183.3.134.56:9901/tsfile/live/0012_1.m3u8
CCTV-12,http://123.154.30.252:9901/tsfile/live/0012_1.m3u8
CCTV-12,http://47.93.215.244:80/udp/225.1.8.12:8124
CCTV-12,http://1.24.190.98:10080/hls/12/index.m3u8
CCTV-13,http://171.118.223.183:9999/tsfile/live/0013_1.m3u8
CCTV-13,http://116.131.173.194:809/hls/13/index.m3u8
CCTV-13,http://112.101.78.50:9901/tsfile/live/0013_1.m3u8
CCTV-13,http://124.165.251.82:9999/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://14.212.185.138:9901/tsfile/live/0013_1.m3u8
CCTV-13,http://183.3.134.56:9901/tsfile/live/0013_1.m3u8
CCTV-13,http://120.7.86.46:808/hls/13/index.m3u8
CCTV-13,http://222.83.181.3:9901/tsfile/live/0014_1.m3u8
CCTV-13,http://47.93.215.244:80/udp/225.1.8.113:8264
CCTV-13,http://47.93.215.244:80/udp/225.1.1.10:8128
CCTV-13,http://47.93.215.244:80/udp/225.1.8.168:8130
CCTV-13,http://123.154.30.252:9901/tsfile/live/0013_1.m3u8
CCTV-13,http://1.195.111.251:11190/tsfile/live/0013_1.m3u8
CCTV-13,http://111.11.98.205:9900/hls/13/index.m3u8
CCTV-13,http://1.24.190.98:10080/hls/13/index.m3u8
CCTV-13,http://36.35.16.98:9901/tsfile/live/0001_33.m3u8
CCTV-13,http://1.202.9.192:8888/udp/225.1.8.113:8264
CCTV-14,http://116.131.173.194:809/hls/14/index.m3u8
CCTV-14,http://171.118.223.183:9999/tsfile/live/0014_1.m3u8
CCTV-14,http://60.27.20.217:4022/rtp/225.1.1.144:5002
CCTV-14,http://1b6467f415.iok.la:9931/tsfile/live/1034_1.m3u8
CCTV-14,http://183.3.134.56:9901/tsfile/live/0014_1.m3u8
CCTV-14,http://112.101.78.50:9901/tsfile/live/0014_1.m3u8
CCTV-14,http://111.11.98.205:9900/hls/14/index.m3u8
CCTV-14,http://123.154.30.252:9901/tsfile/live/0014_1.m3u8
CCTV-14,http://47.93.215.244:80/udp/225.1.8.114:8236
CCTV-14,http://222.83.181.3:9901/tsfile/live/0128_1.m3u8
CCTV-14,http://120.7.86.46:808/hls/14/index.m3u8
CCTV-14,http://1.24.190.98:10080/hls/14/index.m3u8
CCTV-14,http://14.212.185.138:9901/tsfile/live/0014_1.m3u8
CCTV-14,http://1.202.9.192:8888/udp/225.1.8.114:8236
